# Tempo (s),coefficiente della forza laterale (​)
0,NaN
0.003,NaN
0.005,NaN
0.008,NaN
0.011,NaN
0.015,NaN
0.019,NaN
0.022,NaN
0.026,NaN
0.03,NaN
0.034,NaN
0.037,NaN
0.04,NaN
0.042,NaN
0.045,NaN
0.047,NaN
0.05,NaN
0.052,NaN
0.055,NaN
0.057,NaN
0.06,NaN
0.062,NaN
0.065,NaN
0.067,NaN
0.07,NaN
0.072,NaN
0.075,NaN
0.077,NaN
0.08,NaN
0.082,NaN
0.085,0
0.089,0
0.094,0
0.103,0
0.115,0
0.134,0
0.156,0
0.178,0
0.203,0
0.231,0
0.266,0
0.316,0
0.366,0
0.416,0
0.466,0
0.516,0
0.56,0
0.601,0
0.644,0
0.693,0
0.743,0
0.793,0
0.843,0
0.893,0
0.943,0
0.993,0
1.043,00
1.093,00
1.143,00
1.193,00
1.243,00
1.293,00
1.343,00
1.393,00
1.443,00
1.493,00
1.543,00
1.593,00
1.643,00
1.693,00
1.743,00
1.793,00
1.843,00
1.893,00
1.943,00
1.993,00
2.043,00
2.093,00
2.143,00
2.193,00
2.243,NaN
2.348,NaN
2.461,NaN
2.589,NaN
2.744,NaN
2.957,NaN
3.313,NaN
3.627,NaN
3.941,NaN
4.253,NaN
4.566,NaN
4.879,NaN
5.191,NaN
5.504,NaN
5.816,NaN
6.312,NaN
